Tipo de Transferencia,Pageable Memory (GB/s),Pinned Memory (GB/s)
HTOD,4494.51015625,6055.010156249997
DTOD,94244.49296874994,94337.72578125002
DTOH,94258.70312499997,6495.103124999997
